text,label,sentiment
12 public school function unit local usually operate several school largest urban suburban district operate hundred school practice varies significantly state case within state american operate independent local governmental unit grant authority within geographic limit created state law executive legislative power locally controlled policy operation independent case held board education depending state law member local board education often referred informally school board may elected appointed political office holder serve ex officio combination independent legally separate body corporate political,school district,0.6369
controlling law varies united state operate independent local governmental unit exclusive authority 12 public educational operation policy extent control set state level law litigation common law firm specialize school law handle litigation paid school board professional liability insurance independent often exercise authority school system analogous authority local government like town county include power enter contact eminent domain power issue binding rule regulation affecting school policy operation,school district,0.5106
power tax spend generally limited independent annual budget may require approval plebiscite much new york local government additionally independent taxation authority may may exist virginia whose school division taxing authority must depend another local government county city town funding governing body typically elected direct popular vote may appointed governmental official called school board board trustee board education school committee like body appoints superintendent school usually experienced public school administrator function district chief executive carrying day day decision policy implementation,school district,0.8442
school board may also exercise quasi judicial function serious employee student discipline matter midwest west tend cross municipal boundary new england mid atlantic region tend adhere city township county boundary 1951 independent governmental unit 26 state 17 state mix independent subordinate local government nine state subordinate local government southern state school system operate either arm county government least share coextensive boundary state county 2010 study economist william fischel found two third medium large american city boundary substantially overlap single substantial regional state variation degree overlap ranging nearly perfect congruence new england new jersey virginia hardly illinois texas florida,school district,0.5684
outside united state autonomous district equivalent authority often represent various group seeking education autonomy european history much world religious confessional linguistic ethnic division significant factor school organization paradigm shifting england wale school board established 1870 abolished 1902 county council county borough council becoming local education authority france system carte scolaire dismantled beginning 2007 school year school choice given french student however priority given meet following criterion student disability student scholarship special academic merit student meet social cohesion criterion essentially diversify school population student require specialized medical attention hospital student want study course offered school student sibling attend school student live close schoolin germany school teacher predominately funded state germany also control overall education policy hand school building mostly run funded municipal government different level municipal system municipality proper district depending size specialization certain school population size certain municipality,school district,0.9468
field government specialized school special government body zweckverband established municipality voter member certain degree comparable arrangement possible certain type special school north rhine westphalia run landschaftsverb nde also exist private school mostly funded state run private entity like church foundation italy established 1974 provvedimenti delegati sulla scuola assigned law government must contain minimum 10 000 inhabitant,school district,0.8779
yan wenfan indiana university pennsylvania comparison rural archive center rural pennsylvania pennsylvania general assembly small small analysis consolidation archive,school district,0.0
city uvalde spent 40 municipal budget police department 2019 2020 fiscal year ucisd operating robb elementary school multiple security measure place time shooting uvalde consolidated independent police department ucisd pd six officer police department responsible security district eight school also doubled expenditure security measure four year preceding shooting 2021 expanded police force four officer six officer state texas given ucisd 69 141 grant improve security measure part 100 million statewide allocation made 2018 santa fe high school shooting ten people slain district also security staff patrolled door entrance parking lot secondary school campus,school district,0.9493
since 2020 pedro pete arredondo served ucisd police chief school extensive security measure place school used social sentinel software service monitored social medium account student uvalde affiliated people identify threat made student staff district written security plan noted use raptor visitor management system school scan visitor identity document check watch list well use two way radio fence enclosure around campus school threat assessment team policy locking door classroom according report released texas house representative july 17 although official school policy exterior interior door remain locked staff member would often unlock open door due lack key additionally employee desensitized intruder alert system almost always used incident undocumented migrant area running police ucisd held joint security training exercise august 2020 along uvalde police department uvalde county sheriff department local law enforcement agency,school district,0.1027
may 24 2022 salvador ramos 66 year old grandmother argument phone bill home uvalde shot face taking black 2008 ford 150 survived sought help neighbor police officer called airlifted hospital san antonio critical condition ramos using facebook account sent three private message 15 year old girl germany met online prior shooting first say going shoot grandmother second say shot grandmother third 15 minute shooting say going open fire elementary school spokesperson meta parent company facebook said post private one one text message discovered shooting took place ramos crashed grandmother truck barricade concrete ditch outside robb elementary school 11 28 cdt utc proceeded scale fence enter school ground,school district,-0.3818
according police wore tactical vest carrying ammunition include ballistic protection armor insert panel plus backpack black clothing carrying ar 15 style rifle seven 30 round magazine brought school one two rifle legally bought left crashed truck witness said first fired two people nearby funeral home escaped uninjured police reported receiving call vehicle crashed near school hearing call school resource officer drove school campus pursued teacher officer erroneously believed gunman driving past actual gunman process ramos entered school west facing entrance door shut teacher seen,school district,-0.6908
entrance door lock despite designed locked shut ucisd police chief estimated shooting began 11 32 according facebook post school school placed lockdown 11 43 response gunshot heard vicinity report released july found officer aimed rifle ramos entered school fire awaiting supervisor permission entering building ramos walked two short hallway entered classroom internally connected another classroom fatality located adjoining classroom 111 112 survivor shooting said teacher irma garcia attempted lock door classroom shot door window backed garcia classroom said goodnight shot killed,school district,-0.8689
